Entry	Protein names	Length	Helix	Beta strand	Interacts with
A2A2Y4	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	597			Q96FZ5; O43169; Q8N5M9; Q8IXM6; Q5VZY2; Q9Y6X1; Q8N6R1; Q96G79; Q5SNT2-2; A2RU14; Q5BJF2; O95159
A2RU14	Transmembrane protein 218	115			Q96BI3; P41181; Q13520; Q3SXY8; Q8WWH4; O15342; J3KQ12; Q9UGN4; P19397; P11912; P57739; Q8IUN9; Q6ZS10; Q7Z7G2; Q96BA8; P16410; Q9Y4D2; Q15125; Q9NXB9; Q9GZR5; P54849; Q9Y282; Q5JX71; A2A2Y4; Q8TB36; P08034; Q9NTQ9; O95452; Q8TDT2; Q9BZJ8; Q8TED1; P38484; P48051; O95279; P43628; Q5T700; Q8TAF8; Q8N112; Q9GZY8-5; Q96HJ5; Q9H2K0; Q9Y5X5-3; P12004; Q9BQ51; Q96FE7; Q53GL0; Q86VR2; Q9NR31; A0A0S2Z4U3; Q96EP9; Q3KNW5; P54219-3; Q9BZL3; Q8WWF3; Q96CE8; Q6PL24; Q9BVX2; Q6ZP80; Q6UWW9; Q8WY98; Q96B21; Q4KMG9; Q6PEY1; O15393-2; P34981; O95859; Q8WUV1; Q9H7M9
A2RUB6	Coiled-coil domain-containing protein 66	948			Q7Z3E5; A2RUB6; O60308; Q1MSJ5; Q9Y4F4
A2RUC4	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	315	HELIX 16..22; /evidence="ECO:0007829|PDB:3AL5"; HELIX 24..26; /evidence="ECO:0007829|PDB:3AL5"; HELIX 40..43; /evidence="ECO:0007829|PDB:3AL5"; HELIX 46..53; /evidence="ECO:0007829|PDB:3AL5"; HELIX 82..90; /evidence="ECO:0007829|PDB:3AL5"; HELIX 121..124; /evidence="ECO:0007829|PDB:3AL5"; HELIX 126..129; /evidence="ECO:0007829|PDB:3AL5"; HELIX 140..142; /evidence="ECO:0007829|PDB:3AL5"; HELIX 182..188; /evidence="ECO:0007829|PDB:3AL5"; HELIX 211..213; /evidence="ECO:0007829|PDB:3AL5"; HELIX 255..257; /evidence="ECO:0007829|PDB:3AL5"; HELIX 270..286; /evidence="ECO:0007829|PDB:3AL5"; HELIX 291..308; /evidence="ECO:0007829|PDB:3AL5"	STRAND 10..13; /evidence="ECO:0007829|PDB:3AL5"; STRAND 30..34; /evidence="ECO:0007829|PDB:3AL5"; STRAND 57..66; /evidence="ECO:0007829|PDB:3AL5"; STRAND 76..81; /evidence="ECO:0007829|PDB:3AL5"; STRAND 106..108; /evidence="ECO:0007829|PDB:3AL5"; STRAND 143..151; /evidence="ECO:0007829|PDB:3AL5"; STRAND 156..160; /evidence="ECO:0007829|PDB:3AL5"; STRAND 163..170; /evidence="ECO:0007829|PDB:3AL5"; STRAND 175..180; /evidence="ECO:0007829|PDB:3AL5"; STRAND 194..196; /evidence="ECO:0007829|PDB:3AL5"; STRAND 200..202; /evidence="ECO:0007829|PDB:3AL5"; STRAND 216..221; /evidence="ECO:0007829|PDB:3AL5"; STRAND 226..229; /evidence="ECO:0007829|PDB:3AL5"; STRAND 234..241; /evidence="ECO:0007829|PDB:3AL5"; STRAND 243..250; /evidence="ECO:0007829|PDB:3AL5"; STRAND 263..265; /evidence="ECO:0007829|PDB:3AL5"	A5A3E0
A3KN83	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)	1393			
A4D1B5	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	854			P05067
A4GXA9	Structure-specific endonuclease subunit EME2 (Essential meiotic structure-specific endonuclease subunit 2)	379	HELIX 82..86; /evidence="ECO:0007829|PDB:7F6L"; HELIX 88..90; /evidence="ECO:0007829|PDB:7F6L"; HELIX 91..97; /evidence="ECO:0007829|PDB:7F6L"; HELIX 147..156; /evidence="ECO:0007829|PDB:7F6L"; HELIX 185..192; /evidence="ECO:0007829|PDB:7F6L"; HELIX 216..230; /evidence="ECO:0007829|PDB:7F6L"; HELIX 240..264; /evidence="ECO:0007829|PDB:7F6L"; HELIX 289..298; /evidence="ECO:0007829|PDB:7F6L"; HELIX 305..314; /evidence="ECO:0007829|PDB:7F6L"; HELIX 319..326; /evidence="ECO:0007829|PDB:7F6L"; HELIX 331..335; /evidence="ECO:0007829|PDB:7F6L"; HELIX 356..366; /evidence="ECO:0007829|PDB:7F6L"	STRAND 73..80; /evidence="ECO:0007829|PDB:7F6L"; STRAND 102..106; /evidence="ECO:0007829|PDB:7F6L"; STRAND 110..119; /evidence="ECO:0007829|PDB:7F6L"; STRAND 141..145; /evidence="ECO:0007829|PDB:7F6L"; STRAND 178..184; /evidence="ECO:0007829|PDB:7F6L"; STRAND 234..239; /evidence="ECO:0007829|PDB:7F6L"; STRAND 265..267; /evidence="ECO:0007829|PDB:7F6L"; STRAND 347..350; /evidence="ECO:0007829|PDB:7F6L"	Q96NY9
A5D8V7	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	595			P22607; Q53GS7; P06396; P01112; O60341; O14901; Q2M2I5; Q7Z3Y8; Q5JR59-3; Q7Z6G3-2; Q96M63; Q15276; Q7Z699; O43463; Q9UBB9; Q8N3L3; Q9UMX0; Q8N6Y0; Q7Z6G3-2; Q96M63; Q9UBB9; Q8N3L3
A5PLL7	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	270			P13473-2; Q9Y371
A6BM72	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	1044			Q7Z417
A6H8Y1	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	2624	HELIX 305..317; /evidence="ECO:0007829|PDB:5N9G"; HELIX 322..328; /evidence="ECO:0007829|PDB:5N9G"; HELIX 334..347; /evidence="ECO:0007829|PDB:5N9G"; HELIX 349..357; /evidence="ECO:0007829|PDB:5N9G"; HELIX 364..381; /evidence="ECO:0007829|PDB:5N9G"		
A6NCS4	Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)	301			
A6NFY7	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)	115			Q9UHD4; Q8IWL3; Q7Z3Y8; P21912
A6NGG8	Photoreceptor cilium actin regulator	1288	HELIX 835..838; /evidence="ECO:0007829|PDB:7LXF"; HELIX 842..845; /evidence="ECO:0007829|PDB:7LXF"		
A6NI61	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	221			
A6NKB5	Pecanex-like protein 2 (Pecanex homolog protein 2)	2137			Q8WTS1; Q9P0S3; Q9BRI3
A6NNB3	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)	132			
A6QL63	Ankyrin repeat- and BTB/POZ domain-containing protein 3 (BTB/POZ domain-containing protein 11)	1104			
A7E2V4	Zinc finger SWIM domain-containing protein 8	1837			
A7MCY6	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	615			Q9UKV8; O96018; Q14164; Q8TDY2; Q9UHD2; P17362
A7MD48	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	611			Q02040; A0A0C4DG62; Q6PH81; Q16543; P49759-3; Q9HAZ1; Q8IZU0; Q9Y383; Q9P127; Q96EZ8; Q9BU76; P49756; Q14498; Q9Y388; Q15287; Q96IZ7; Q8TAD8; P08621; Q8IYB3; A7MD48; Q05519-2; Q01081; P61964; Q15973; Q9HBT8; Q32M78; Q15696; Q15695
A7XYQ1	Sine oculis-binding protein homolog (Jackson circler protein 1)	873			
A8MQ03	Cysteine-rich tail protein 1	144			Q9NQ94; Q5BKX5-3; Q96HD9; O43184-4; P82987; Q6UY14-3; Q6ZMM2; P21549; P43353; P05187; Q9Y4X0-3; Q9NYG5-2; Q49AR9; P29972; P15514; Q9BRR9; Q03989; Q6HA08; Q7Z3C6-3; Q7L5A3; Q8N5M1; Q8WXX7-2; Q5T686; Q9UBV7; O95817; P46379-2; Q8TBE0; Q9UHR4; Q9HBH7; Q9BXY8; P62952; P18075; Q0VDD7-2; J3KQ12; Q6NUJ2; Q6P5X5; Q13698; Q9BWT7; Q9H257-2; Q9Y2V2; Q7Z7H3; Q8NEC5; Q8N7E2; Q14781-2; Q96HB5; Q8TC90; O75909-2; Q6UXG3; Q8IVW4; Q8N6W0; Q5T4B2; Q8TCT0; P23141-3; Q8IYR0; P27918; Q9Y6H1; Q9NX63; Q9UKJ5; Q9H2X0; P07510-2; Q8IXM7; P51800-3; Q8N6F1-2; P57739; A5D8T8; Q8NE01; P26441; Q86WW8; P27658; P49747; P23786; Q9UGL9; Q02930-3; P06850; Q49AN0; P05813; P53672; P09603; P09228; Q9H4G1; Q99895; P08311; Q9UBR2; O60888-3; Q08AG9; A8MQ03; Q5SW24-3; Q5D0E6-2; Q8NFT6-2; A2VCK2; Q9NXZ2; Q9P1A6-3; Q9NW81-2; Q9NQL9; Q96EY1; Q13609; Q92608; Q92997; P42892; Q16610; Q5T9C2-3; Q12805; O95967; Q9NPA0; Q9H0I2; Q8TE68-2; P84090; Q92731-3; Q9NVF9; Q9NVM1; Q8N9I5; Q9H5Z6-2; A4D161; A6H8Z2; Q8WU58; Q86UY5; Q86YD7; Q9NW38; O95363; P48023; Q969U6; A0PJY2; Q13643; P21333-2; O60548; Q9NU39; Q6VB84; O75593; O43559; Q92765; Q9ULW2; Q8NEG0; O95995; P23769; P23771-2; Q9BWX5; Q8N6F7; P55040; Q86UU5; Q8IW92; P43220; Q9Y223-2; Q9P2W3; O95872; Q9NWQ4-1; Q13227; P28799; P09211; Q96NT3-2; P02008; P08631-2; Q9BSH5; Q9UBP5; Q03014; Q14774; P49639; P09067; P17482; P31273; P31274; O43593; P04196; O75506; Q9H2F3; Q96MM6; P10809; Q12891; P05362; Q14773-3; Q14005-2; Q0VD86; Q9C086; Q92835-2; P01308; Q8NA54; Q9NPH2; P05107; P16144-2; P18084; Q15040; Q9ULS6; Q96SI1-2; A0JP07; Q2WGJ6; O60259; Q5T749; P35900; Q15323; Q14525; O76011; Q14533; P78385; P78386; O43790; Q07627; Q8IUG1; Q9BYS1; P60014; P60412; P60370; P60409; P60410; P60411; Q8IUC1; P59990; P59991; P60328; P60329; Q52LG2; Q3SY46; Q3LI77; Q3LI76; Q8IUB9; Q3LHN2; Q7Z4W3; Q3LI72; Q3LI70; Q3SYF9; Q9BYR9; Q6PEX3; Q9BYR8; Q9BYR6; Q9BYQ6; Q9BQ66; Q9BYR5; Q9BYR3; Q9BYR2; Q6L8G4; Q6L8H2; Q6L8H1; Q6L8G9; Q6L8G8; P26371; Q3LI64; Q3LI66; Q3LI67; Q8IUC2; Q9BYQ4; Q9BYQ3; Q9BYQ0; Q6VAB6; Q14657; Q14847-2; Q5T7P2; Q5T7P3; Q5T751; Q5T752; Q5T753; Q5T754; Q5TA79; O14633; Q5TA81; Q5TA82; Q5TA76; Q5TA77; Q5T5A8; Q9BYE3; Q5T5B0; Q5TA78; Q5TCM9; Q96PV6; Q6DKI2; Q9BU23-2; Q8IXW0; Q8TAP4-4; P61968; Q8TBB1; Q17RB8; Q496Y0; Q6PJG9; Q15345; Q8WUT4; Q9Y5Y7; O75367; O60336; Q96EZ8; Q71SY5; P08582-2; Q6FHY5; Q14CX5; Q8IVT4; Q5JXC2; Q13064; Q16540; Q9NQ50; Q9NZV6; Q8N339; Q13330; P48039; Q9BW11; P50539-3; Q86VE0; Q16795; Q9BU61; P49821; Q92692-2; Q9NQS3-2; Q9Y3R4; Q8WWR8-2; Q969G9; P48645; P0DPK4; Q86UR1-2; P48146; Q9NQX5; P16860; Q9Y639-1; Q6NSM0; Q92570; Q96L73-2; Q96HA8; Q9HB63; Q9Y5Y2; Q7Z417; Q7RTU3; O14581; Q8NHW6; P32242; Q99572; Q9HBE1-4; Q92824-2; O76083-2; Q9UHJ9-5; Q9HCN3; Q8N4B1-4; A2BDE7; P78337; Q99697-2; Q13563; Q16512; O15496; Q494U1-3; Q9Y342; P28340; Q12837; P62140; P01298; P14222; P54646; O43741; P04070; O75360; Q8WWY3; A6NJB7-2; Q53SZ7; Q9NV39; P0CG20; P41222; Q8WUK0; P15151; Q2TAL8; Q9Y2K5; Q8TBN0; Q12967-6; Q9BTL3; O60896; Q9Y272; Q9NW64; P10745; Q6P9E2; Q8IYK8; O15211; P49796-4; Q9H310-3; Q9BSD3; Q9H0F5; Q86WX3; Q6P087; Q6UXX9-2; Q86UD0; Q8IYX7; Q7Z5V6-2; Q8NA69; Q14162; Q9BWG6; Q13214-2; Q9C0C4; Q96B97; Q8TEC5; Q9NUL5-4; Q6ZSJ9; Q9UP95; Q86YT5; Q9UHI7-3; Q9H1K4; Q6ZT89-3; Q8N370; Q92911; Q9NP91; O75093; Q92922; Q96GM5; Q969G3; P49901; Q9H4F8-2; Q53HV7-2; P14678-2; P09234; Q96RF0; A1A5D2; O14512; Q86W54-2; Q5T0L3; Q6RVD6; Q9Y4P9-2; Q9UQ90; Q96LM5; Q8N865; Q8NCR6; Q96LM6; Q9HCB6; Q8IUH8; O43609; Q969W0; P31213; O75716; Q9BX59; Q13207; O95947; Q9Y4C2-2; Q15560; Q8N8B7-2; Q9NQB0-10; Q96A09; Q96N21; Q7Z6R9; P01137; Q9BT49; Q9Y584; Q08117-2; O76062; Q8WUU8; Q15025; Q96KP6; Q07912-2; Q8IZW8; Q8WVR3; Q9NSU2-1; Q8IWZ5; Q3SY00; O14817; Q5W5X9-3; P49638; P29597; O94888; Q8IV45; Q70EL1-9; Q9BRU9; Q6EMK4; O95231; A8MV65-2; Q8IW00; Q2TAL6; B2RUY7; Q64LD2-2; Q9Y5W5; O96014; P19544-6; P07947; P25490; P24278; Q9P1Z0; Q8WYQ9; Q8WTX9; A2RRC6; Q15915; O75800; Q15973; P49910; Q14584; Q9P2F9; Q9Y3S2; Q9H9D4; Q96IQ9; Q8TAU3; Q96HQ0; Q7Z4V0; Q8NDP4; Q8IYI8; Q8N8Z8; Q9NWS9-2; Q6ZNH5; Q9H707; Q86XF7; Q9UK33; Q9P0T4; Q96SQ5; Q5T619; Q96BR6; Q8IZ20; Q9H7X3; Q96H86; Q96BV0; Q8N393; Q9Y2P0; Q96EG3; Q8N446; O43257; Q9BUG6; Q96EJ4
A8MW99	Meiosis-specific protein MEI4	385			Q63HM1; Q9NX04; O95429; Q9UFG5; Q9NP86; P55273; Q13111; Q96FN4; Q9H4G1; Q8WZ74; P04053; P63241; O75344; P62993; Q9H2F3; P46940; Q8TCE9; Q8N5G2; Q8WXB1; Q9UH92-3; Q96QG7; Q9ULV0-2; Q9NPG2; Q9Y5B8; Q9UJX0; Q15102; Q96FC7; Q9H4M7-2; O15160; Q9Y2K5; Q7Z4M0; Q9UL33-2; Q8IWR1; Q8WW01; Q96PN8; Q8N6Y0; O14972
A9UHW6	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	222			Q9NUU7; Q9UMR2; O75821; Q8IV48; P56524; O14964; A9UHW6; P01106; Q5VU43; Q14493; PRO_0000037314 [P0C6X7]; P29972; Q8N5M1; Q8IYR0; Q9Y6H1; P53673; O43310-2; Q9NUU7; Q9UMR2; O75821; Q9H0I2; Q9BQ89; A0A0S2Z4Q4; O14964; Q13064; Q96HA8; P40302
B1AK53	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	854			
B2RUY7	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)	222			Q8WW18; Q6P5X5; Q6PRD7; Q9UGL9; P42830; A8MQ03; Q30KQ8; Q9NWN3; Q13643; P49639; P60410; Q8IUC1; Q3LHN2; Q5T7P2; Q5T751; Q5TA76; Q5TCM9; Q6FHY5; Q92570; P32242; P57078-2; Q8IWZ5; Q06418; P17024
B3KU38	IQCJ-SCHIP1 readthrough transcript protein	563			
B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	271			
B7U540	Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)	433			P50402; P63252
C9JLW8	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	97			
C9JRZ8	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	316			O60218; Q12933
D3W0D1	Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)	207	HELIX 99..107; /evidence="ECO:0007829|PDB:4IOP"; HELIX 119..125; /evidence="ECO:0007829|PDB:4IOP"; HELIX 126..128; /evidence="ECO:0007829|PDB:4IOP"	STRAND 79..81; /evidence="ECO:0007829|PDB:4IOP"; STRAND 83..85; /evidence="ECO:0007829|PDB:4IOP"; STRAND 88..91; /evidence="ECO:0007829|PDB:4IOP"; STRAND 94..98; /evidence="ECO:0007829|PDB:4IOP"; STRAND 134..141; /evidence="ECO:0007829|PDB:4IOP"; STRAND 143..145; /evidence="ECO:0007829|PDB:4IOP"; STRAND 148..150; /evidence="ECO:0007829|PDB:4IOP"; STRAND 171..178; /evidence="ECO:0007829|PDB:4IOP"; STRAND 180..184; /evidence="ECO:0007829|PDB:4IOP"; STRAND 187..190; /evidence="ECO:0007829|PDB:4IOP"; STRAND 193..195; /evidence="ECO:0007829|PDB:4IOP"	Q6UVW9
E0CX11	Short transmembrane mitochondrial protein 1	47			O43765
O00115	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	360			P27824
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	658			Q9BQQ3
O00159	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	1063	HELIX 51..53; /evidence="ECO:0007829|PDB:4BYF"; HELIX 60..72; /evidence="ECO:0007829|PDB:4BYF"; HELIX 98..104; /evidence="ECO:0007829|PDB:4BYF"; HELIX 109..111; /evidence="ECO:0007829|PDB:4BYF"; HELIX 116..129; /evidence="ECO:0007829|PDB:4BYF"; HELIX 146..160; /evidence="ECO:0007829|PDB:4BYF"; HELIX 170..185; /evidence="ECO:0007829|PDB:4BYF"; HELIX 225..227; /evidence="ECO:0007829|PDB:4BYF"; HELIX 238..246; /evidence="ECO:0007829|PDB:4BYF"; HELIX 249..254; /evidence="ECO:0007829|PDB:4BYF"; HELIX 261..263; /evidence="ECO:0007829|PDB:4BYF"; HELIX 280..293; /evidence="ECO:0007829|PDB:4BYF"; HELIX 298..316; /evidence="ECO:0007829|PDB:4BYF"; HELIX 333..342; /evidence="ECO:0007829|PDB:4BYF"; HELIX 346..354; /evidence="ECO:0007829|PDB:4BYF"; HELIX 371..401; /evidence="ECO:0007829|PDB:4BYF"; HELIX 433..453; /evidence="ECO:0007829|PDB:4BYF"; HELIX 455..464; /evidence="ECO:0007829|PDB:4BYF"; HELIX 477..484; /evidence="ECO:0007829|PDB:4BYF"; HELIX 490..496; /evidence="ECO:0007829|PDB:4BYF"; HELIX 506..516; /evidence="ECO:0007829|PDB:4BYF"; HELIX 558..562; /evidence="ECO:0007829|PDB:4BYF"; HELIX 568..575; /evidence="ECO:0007829|PDB:4BYF"; HELIX 580..585; /evidence="ECO:0007829|PDB:4BYF"; HELIX 600..616; /evidence="ECO:0007829|PDB:4BYF"; HELIX 639..649; /evidence="ECO:0007829|PDB:4BYF"; HELIX 651..660; /evidence="ECO:0007829|PDB:4BYF"; HELIX 668..675; /evidence="ECO:0007829|PDB:4BYF"; HELIX 676..678; /evidence="ECO:0007829|PDB:4BYF"; HELIX 690..701; /evidence="ECO:0007829|PDB:4BYF"; HELIX 720..753; /evidence="ECO:0007829|PDB:4BYF"	STRAND 77..80; /evidence="ECO:0007829|PDB:4BYF"; STRAND 83..87; /evidence="ECO:0007829|PDB:4BYF"; STRAND 134..139; /evidence="ECO:0007829|PDB:4BYF"; STRAND 193..196; /evidence="ECO:0007829|PDB:4BYF"; STRAND 198..206; /evidence="ECO:0007829|PDB:4BYF"; STRAND 212..220; /evidence="ECO:0007829|PDB:4BYF"; STRAND 269..271; /evidence="ECO:0007829|PDB:4BYF"; STRAND 355..357; /evidence="ECO:0007829|PDB:4BYF"; STRAND 366..368; /evidence="ECO:0007829|PDB:4BYF"; STRAND 408..413; /evidence="ECO:0007829|PDB:4BYF"; STRAND 415..421; /evidence="ECO:0007829|PDB:4BYF"; STRAND 429..431; /evidence="ECO:0007829|PDB:4BYF"; STRAND 499..503; /evidence="ECO:0007829|PDB:4BYF"; STRAND 528..530; /evidence="ECO:0007829|PDB:4BYF"; STRAND 535..537; /evidence="ECO:0007829|PDB:4BYF"; STRAND 539..546; /evidence="ECO:0007829|PDB:4BYF"; STRAND 549..554; /evidence="ECO:0007829|PDB:4BYF"; STRAND 618..626; /evidence="ECO:0007829|PDB:4BYF"; STRAND 663..667; /evidence="ECO:0007829|PDB:4BYF"; STRAND 682..684; /evidence="ECO:0007829|PDB:4BYF"; STRAND 707..710; /evidence="ECO:0007829|PDB:4BYF"; STRAND 712..718; /evidence="ECO:0007829|PDB:4BYF"	P0DP25; O75365
O00161	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	211	HELIX 24..74; /evidence="ECO:0007829|PDB:1NHL"		P54920; Q9H115; O76038; O75558; Q13277; Q15836; Q8IUH5
O00165	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	279			P03372; Q14451; P42858; P01583; Q92993; Q8TAP4-4; P58340; Q9BRX2; Q9H4B6; Q15047-2; Q9ULQ1; Q8NHX9; P61981; O12160; Q68871
O00168	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	92	HELIX 23..26; /evidence="ECO:0007829|PDB:2JO1"; HELIX 28..30; /evidence="ECO:0007829|PDB:2JO1"; HELIX 34..64; /evidence="ECO:0007829|PDB:2JO1"; HELIX 80..89; /evidence="ECO:0007829|PDB:2JO1"	STRAND 69..71; /evidence="ECO:0007829|PDB:2JO1"	
